Linea V2 LP Holders,Generated 2026-07-16T03:58:31.897Z (UTC),Source: https://api.brownfi.io,chainId 59144

Pool,Pair address,TVL,Total LP supply,Holders
USDT-WETH,0xafdbf57c83c55b1813a140b087c502d47fb469a4,$955.41,8434.123886,3
WBTC-WETH,0x679e84fb0b5f922aaaa9e1d06cb044110a603852,$830.40,3240.541592,2
LINEA-WETH,0xa3805eb1b8fad35c2cfc6c148073493f316e3489,$605.64,4444.655652,5
USDC-LINEA,0xec029ced99314ff39d59a121b60adfd1fdde4604,$7.59,37711.082782,4
USDC-WETH,0xa87e2c65f2b79164bab690ec6808431d8c419598,$4.15,13757.734846,4

USDT-WETH — holders,0xafdbf57c83c55b1813a140b087c502d47fb469a4,TVL $955.41,supply 8434.123886,3 holders
Rank,Holder,LP Balance,% of Pool,LP Value (USD)
1,0xd24dd11b6bca2c119321f2acb29ad1b45ef98ea5,7992.199935,94.76%,$905.35
2,0xafd77f61a371c888ee2d276b2cd8290f91c9a65c,441.847122,5.24%,$50.05
3,0xbe9536bef1137915dcb047bb7a915ee9b0961de4,0.076829,0.00%,$0.01
,TOTAL,8434.123886,100.00%,reconciles ✓

WBTC-WETH — holders,0x679e84fb0b5f922aaaa9e1d06cb044110a603852,TVL $830.40,supply 3240.541592,2 holders
Rank,Holder,LP Balance,% of Pool,LP Value (USD)
1,0xfd4a1ed32cd133c5bc4b5eebd8ebab4d9628dddb,3110.404254,95.98%,$797.05
2,0xafd77f61a371c888ee2d276b2cd8290f91c9a65c,130.137337,4.02%,$33.35
,TOTAL,3240.541592,100.00%,reconciles ✓

LINEA-WETH — holders,0xa3805eb1b8fad35c2cfc6c148073493f316e3489,TVL $605.64,supply 4444.655652,5 holders
Rank,Holder,LP Balance,% of Pool,LP Value (USD)
1,0xafd77f61a371c888ee2d276b2cd8290f91c9a65c,2571.464233,57.86%,$349.76
2,0xa6f8627247507be21bbb26ed5d33624b1bd9aa03,1330.514631,29.94%,$180.97
3,0x17c5bc83ddbc300d2eb74dda5656426f5ed59bee,449.269135,10.11%,$61.11
4,0x9cf7266a665d4dc785bc37f1f5bcc9f2805ddd2f,92.550867,2.08%,$12.59
5,0x9fb15ed1b5ef911f4eb3046facf3ff1c67aaaeb4,0.856787,0.02%,$0.12
,TOTAL,4444.655652,100.00%,reconciles ✓

USDC-LINEA — holders,0xec029ced99314ff39d59a121b60adfd1fdde4604,TVL $7.59,supply 37711.082782,4 holders
Rank,Holder,LP Balance,% of Pool,LP Value (USD)
1,0x955af4de9ca03f84c9462457d075acabf1a8afc8,36705.384810,97.33%,$7.39
2,0xafd77f61a371c888ee2d276b2cd8290f91c9a65c,1005.602923,2.67%,$0.20
3,0xbe9536bef1137915dcb047bb7a915ee9b0961de4,0.059361,0.00%,$0.00
4,0x9fb15ed1b5ef911f4eb3046facf3ff1c67aaaeb4,0.035688,0.00%,$0.00
,TOTAL,37711.082782,100.00%,reconciles ✓

USDC-WETH — holders,0xa87e2c65f2b79164bab690ec6808431d8c419598,TVL $4.15,supply 13757.734846,4 holders
Rank,Holder,LP Balance,% of Pool,LP Value (USD)
1,0xc8c14a9d4e6bfb9ac2a0d387d8c93c8da411622f,10352.058925,75.25%,$3.12
2,0xfd4a1ed32cd133c5bc4b5eebd8ebab4d9628dddb,2697.098717,19.60%,$0.81
3,0xafd77f61a371c888ee2d276b2cd8290f91c9a65c,650.675640,4.73%,$0.20
4,0xed09b11bd34b3094f479b08c9db9d47b32de994c,57.901564,0.42%,$0.02
,TOTAL,13757.734846,100.00%,reconciles ✓
